5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 180 185 190 195 200 205 210
300.6111 300.7673 300.8538 300.9229 300.9843 301.0406 301.0928 301.1414 301.1865 301.2286 301.2677 301.3042 301.3381 301.3697 301.3992 301.4266 301.4521 301.4759 301.498 301.5186 301.5377 301.5555 301.5721 301.5876 301.6019 301.6153 301.6277 301.6393 301.65 301.66 301.6693 301.6779 301.686 301.6934 301.7003 301.7068 301.7128 301.7183 301.7235 301.7283 301.7327 301.7368 
