5 15 25 35 45 55 65 75 85 95 105 115 125 135 145 155 165 175 185 195 205 215 225 235 245 255 265
-6.11529e-06 -6.128306e-05 -0.0001267647 -0.0001950708 -0.0002636183 -0.0003305653 -0.0003946786 -0.00045507 -0.0005112075 -0.0005112075 -0.0006098483 -0.0006523489 -0.0006904982 -0.0007245355 -0.0007547421 -0.0007814208 -0.0008048536 -0.0008253398 -0.0008432121 -0.0008587545 -0.0008722309 -0.0008838843 -0.0008939356 -0.000902578 -0.000909989 -0.000916332 -0.0009217508 
