5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 180 185 190
-0.0487219 -0.05646079 -0.06093097 -0.06454585 -0.06773711 -0.07062305 -0.07325184 -0.07565232 -0.07784655 -0.0798533 -0.08168922 -0.08336923 -0.08490684 -0.08631432 -0.08760281 -0.08878246 -0.08986255 -0.0908515 -0.09175706 -0.09258626 -0.09334558 -0.094041 -0.09467788 -0.09526105 -0.09579502 -0.09628409 -0.09673189 -0.09714194 -0.0975174 -0.09786127 -0.09817609 -0.09846442 -0.09872845 -0.09897014 -0.0991915 -0.09939417 -0.09957971 -0.09974965 
