20 40 60 80 100 120 140 160 180 200 220 240 260 280 300 320 340 360 380 400 420 440 460 480 500 520 540 560 580 600 620 640 660 680 700 720 740 760 780 800 820 840 860 880 900 920 940 960 980 1000 1020 1040 1060 1080 1100 1120 1140 1160 1180 1200 1220 1240 1260 1280
362.9616 367.5132 370.7562 373.3767 375.5996 377.5276 379.2189 380.7123 382.0367 383.215 384.2662 385.2061 386.0483 386.8042 387.4841 388.0964 388.6488 389.1478 389.5993 390.0082 390.379 390.7157 391.0217 391.3001 391.5537 391.7848 391.9958 392.1884 392.3644 392.5254 392.6728 392.8077 392.9315 393.0449 393.1491 393.2447 393.3326 393.4134 393.4877 393.556 393.619 393.677 393.7305 393.7798 393.8252 393.8672 393.9059 393.9417 393.9747 394.0053 394.0335 394.0596 394.0838 394.1061 394.1268 394.146 394.1637 394.1802 394.1954 394.2096 394.2227 394.2349 394.2461 394.2566 
