5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150
-0.0006442983 -0.002961052 -0.005629047 -0.008175312 -0.01050614 -0.01261612 -0.01451972 -0.01623538 -0.01778079 -0.01917255 -0.02042557 -0.02155355 -0.02256871 -0.02348226 -0.02430418 -0.02504356 -0.02570863 -0.02630674 -0.02684459 -0.02732816 -0.02776292 -0.0281537 -0.02850496 -0.02882062 -0.02910428 -0.02935915 -0.02958813 -0.02979384 -0.02997861 -0.03014458 
