6 12 18 24 30 36 42 48 54 60 66 72 78 84 90 96 100
309.8287 310.2665 310.46 310.5859 310.6769 310.7457 310.7991 310.8414 310.8755 310.9032 310.9259 310.9448 310.9606 310.9738 310.985 310.9944 310.9999 
