15 35 55 75 95 115 135 155 175 195 215 235 255 275 295 315 335 355 375 395 415 435 455 475 495 515 535
412.6309 421.4112 426.3262 429.5635 433.321 433.321 434.3609 435.0406 435.4572 435.6827 435.7715 435.7646 435.6933 435.5802 435.443 435.2941 435.1425 434.9945 434.8541 434.7238 434.6056 434.5 434.4065 434.3247 434.2536 434.1923 434.1398 
