20 40 60 80 100 120 140 160 180 200 220 240 260 280 300 320 340 360 380 400 420 440 460 480
403.4932 407.5991 409.838 411.2531 412.2069 412.8691 413.335 413.6643 413.8974 414.062 414.1777 414.2588 414.315 414.3538 414.3802 414.3978 414.4094 414.4167 414.4213 414.4239 414.4253 414.4259 414.426 414.426 
