20 40 60 80 100 120 140 160 180 200 220 240 260 280 300 320 340 360 380 400 420 440 460 480
301.0995 302.2259 303.4126 304.6179 305.7879 306.8867 307.893 308.7968 309.596 310.2936 310.8959 311.4111 311.8483 312.2166 312.5249 312.7815 312.9939 313.1689 313.3122 313.4284 313.5229 313.5995 313.6613 313.711 
