20 40 60 80 100 120 140 160 180 200 220 240 260 280 300 320 340 360 380 400 420 440 460 480 500 520 540 560
356.4999 358.7575 360.0215 360.8286 361.37 361.7393 361.9912 362.1613 362.2744 362.3475 362.3931 362.4199 362.434 362.4397 362.4403 362.4375 362.4331 362.4278 362.4224 362.417 362.4121 362.4077 362.4039 362.4005 362.3977 362.3953 362.3933 362.3917 
