10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 180 190 200 210 220 230 240 250
396.956 400.6613 402.5225 403.6749 404.4409 404.972 405.3509 405.6264 405.8296 405.9808 406.094 406.1793 406.2436 406.2924 406.3293 406.3573 406.3787 406.3949 406.4072 406.4165 406.4237 406.4291 406.4331 406.4362 406.4386 
