20 40 60 80 100 120 140 160 180 200 220 240 260 280 300 320 340 360 380 400 420 440 460 480 500 520 540 560 580 600 620 640 660 680 700 720 740 760 780 800 820 840 860
300.0 300.0001 300.0017 300.0073 300.0213 300.0504 300.1033 300.1906 300.3244 300.5179 300.7841 301.1359 301.585 302.1414 302.8133 303.6066 304.5249 305.5693 306.7389 308.0305 309.4393 310.9585 312.5805 314.2963 316.0961 317.97 319.9073 321.8893 323.9189 325.9806 328.0648 330.1619 332.2633 334.3607 336.4466 338.514 340.5567 342.577 344.5567 346.4967 348.3932 350.2431 352.0437 
