20 40 60 80 100 120 140 160 180 200 220 240 260 280 300 320 340 360 380 400 420 440 460 480 500 520 540 560 580 600 620 640 660 680 700 720 740 760 780 800 820 840 860 880 900 920 940 960 980 1000 1020 1040 1060 1080 1100 1120 1140 1160 1180
300.0 300.0 300.0004 300.002 300.0061 300.0153 300.0328 300.063 300.1108 300.1821 300.283 300.4198 300.5984 300.8242 301.1022 301.4362 301.8292 302.2829 302.7983 303.3752 304.0122 304.7076 305.4584 306.2613 307.1124 308.0073 308.9414 309.91 310.9081 311.9309 312.9736 314.0313 315.0997 316.1744 317.2513 318.3265 319.3967 320.4584 321.5088 322.5452 323.5651 324.5666 325.5478 326.5071 327.4431 328.3548 329.2412 330.1017 330.9356 331.7428 332.5229 333.2758 334.0017 334.7006 335.3729 336.0189 336.6389 337.2335 337.8032 
