20 40 60 80 100 120 140 160 180 200 220 240 260 280 300 320 340 360 380 400 420 440 460 480 500 520 540 560 580 600 620 640 660
415.7279 423.8084 429.2509 433.3591 433.3591 439.0469 440.991 442.4555 443.5108 444.2185 444.6347 444.8112 444.7964 444.635 444.3671 444.0273 443.6451 443.2433 442.8397 442.4471 442.0739 441.7254 441.4042 441.1113 440.8464 440.6083 440.3954 440.206 440.038 439.8895 439.7586 439.6437 439.5431 
