10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160
-3.169777e-05 -6.469318e-05 -9.369047e-05 -0.0001188534 -0.0001404107 -0.0001586801 -0.0001740246 -0.0001868156 -0.0001974103 -0.0002061378 -0.0002132877 -0.0002191189 -0.0002238582 -0.0002276978 -0.0002307997 -0.0002332993 
