10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160
300.6053 300.7168 300.7938 300.8534 300.8999 300.9363 300.9647 300.9869 301.0042 301.0178 301.0283 301.0365 301.0429 301.0479 301.0517 301.0548 
