5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115 120 125 130 135 140 145 150 155 160 165 170 175 180 185 190 195 200
388.9448 393.81 395.8566 397.2037 398.2166 399.0197 399.6756 400.2212 400.6817 401.0749 401.414 401.7087 401.9667 402.1938 402.3949 402.5736 402.733 402.8757 403.0037 403.1188 403.2225 403.3161 403.4007 403.4772 403.5466 403.6094 403.6665 403.7183 403.7653 403.8081 403.847 403.8824 403.9146 403.9439 403.9706 403.9949 404.0171 404.0373 404.0557 404.0725 
