20 40 60 80 100 120 140 160 180 200 220 240 260 280 300
355.8758 357.8873 358.8805 359.4389 359.7675 359.9631 360.0786 360.1455 360.1829 360.2026 360.2119 360.2153 360.2154 360.214 360.212 
