5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95 100 105 110 115
-3.0561e-08 -2.872534e-06 -2.058287e-05 -6.169487e-05 -0.0001237073 -0.0001992945 -0.0002812136 -0.0003639723 -0.0004439044 -0.0005188258 -0.0005875908 -0.000649769 -0.0007053687 -0.0007546785 -0.0007981299 -0.0008362325 -0.0008695175 -0.000898503 -0.0009236848 -0.0009455176 -0.0009644182 -0.0009807582 -0.0009948709 
