5 10 15 20 25 30 35 40 45 50 55 60 65 70 75 80 85 90 95
309.3747 309.8152 309.993 310.1055 310.1866 310.2483 310.2965 310.335 310.3661 310.3916 310.4126 310.4302 310.4449 310.4574 310.4679 310.4769 310.4846 310.4912 310.4969 
