6 12 18 24 30 36 42 48 54 60 66 72 78 84 90 96 100 105 110 115 120 125 130 135 140 145
309.9694 310.4369 310.6448 310.7811 310.8805 310.9563 311.0158 311.0633 311.1018 311.1335 311.1598 311.1818 311.2002 311.2159 311.2291 311.2405 311.2471 311.2544 311.2609 311.2666 311.2716 311.2761 311.28 311.2835 311.2865 311.2892 
