6 12 18 24 30 36 42 48 54 60 66 72 78 84 90 96 100 105 110 115 120 125 130
300.0529 300.0645 300.0713 300.0767 300.0813 300.0854 300.089 300.0921 300.0949 300.0973 300.0995 300.1013 300.103 300.1045 300.1057 300.1069 300.1076 300.1083 300.109 300.1096 300.1102 300.1107 300.1111 
