6 12 18 24 30 36 42 48 54 60 66 72 74
0.02018124 0.02027606 0.02029333 0.02030092 0.02030545 0.02030848 0.02031062 0.02031219 0.02031337 0.02031428 0.02031499 0.02031555 0.02031571 
